id,question,subject,difficulty,marks,year,units
1178,"Justify a linked list is a data structure that is based on dynamic memory allocation. and List the application of Linked List Dynamic Memory Allocation.",Data Structure,Medium,06,Second,Unit 3

1179,"What are the properties of binary search tree?",Data Structure,Easy,06,Second,Unit 4 
1180,"Illustrate the binary tree traversal with example.",Data Structure,Medium,06,Second,Unit 4
1181,"Explain Heap in binary tree with basic operations on binary heap.",Data Structure,Hard,06,Second,Unit 4
1182,"What are the different types of the linked list? Give advantages and disadvantages each of the linked list over another.",Data Structure,Easy,06,Second,Unit 4
1183,"Assulne, the following letters are inserted into an empty binary search tree in given order. J, B. D, F, N, K, O. Construct binary search tree and also give height ofthe tree.",Data Structure,Hard,06,Second,Unit 4
1184,"What is Binary Search Tree? Write an algorithm to search an element in Binary search tree.",Data Structure,Medium,06,Second,Unit 4
1185,"Explain Threaded Binary Tree and its types? State its advantages and disadvantages.",Data Structure,Medium,06,Second,Unit 4

1186,"What is skip list? Explain the representation of it in detail.",Data Structure,Easy,06,Second,Unit 5 
1187,"What is radix sort? Explain in detail with example.",Data Structure,Medium,06,Second,Unit 5 
1188,"Apply the insertion sort on following list.
    25 79 41 9 34 60",Data Structure,Hard,06,Second,Unit 5
1189,"What is graph?",Data Structure,Easy,06,Second,Unit 5 
1190,"What is threaded binary trees? Give the threaded binary tree of the following binary tree.Explain the in brief the following
   i) red black tree ii) m-way search tree iii) b tree iv) b+ tree v) sparse matrix vi) AVL tree",Data Structure,Hard,06,Second,Unit 5 
1191,"Explain binary search algorithm by suitable example. Discuss the complexity of Binary search algorithm.",Data Structure,Medium,06,Second,Unit 5
1192,"xplain Insertion sort algorithm with suitable example. Discuss the complexity of insertion sort.",Data Structure,Easy,06,Second,Unit 5

1193,"Define Class, Method and Object? Show the syntax to define these in java.",Java,Easy,06,Second,Unit 1
1194,"Explain parameterized constructor with java program.",Java,Medium,06,Second,Unit 1
1195,"What are get () and set () method in java? State advantages of get () and set () method.",Java,Hard,06,Second,Unit 1
1196,"Write a Java Program to Check Whether a Number is Even or Odd.",Java,Easy,06,Second,Unit 1 
1197,"What are the advantages of the object-oriented programming language?",Java,Medium,06,Second,Unit 1 
1198,"List the primitive data types available in Java and explain.",Java,Easy,06,Second,Unit 1 
1199,"Explain the different part of java program.with appropriate example.",Java,Hard,06,Second,Unit 1
1200,"What are the advantages of Object-oriented programming Language?",Java,Easy,06,Second,Unit 1

1201,"Write a program in Java to display n terms of natural numbers and their sum.",Java,Easy,06,Second,Unit 2
1202,"What is static variable and static function? State difference between static method and instance method.",Java,Hard,06,Second,Unit 2
1203,"Explain method overloading using java program.",Java,Medium,06,Second,Unit 2
1204,"What are the benefits of break and continue statements explain with example?",Java,Easy,06,Second,Unit 2
1205,"Discuss default constructor and parameterized constructor with the help of an example in Java?",Java,Hard,06,Second,Unit 2
1206,"Difference between method overloading and method overriding.",Java,Medium,06,Second,Unit 2
1207,"Expalin default constructor and parameterized Constructor with the help of an examples in java.",Java,Easy,06,Second,Unit 2
1208,"How do we implement polymorphism in JAVA? Explain briefly.",Java,Medium,06,Second,Unit 2


1209,"What is an Array? How do you declare and initialize an Array in java? What are the disadvantages of Array?",Java,Easy,06,Second,Unit 3
1210,"How to pass Arrays to method and return from method in Java?",Java,Medium,06,Second,Unit 3 
1211,"What is a Multidimensional array? Write a java program for addition of two dimensional arrays.",Java,Hard,06,Second,Unit 3
1212,"Write a program to sort the given input array in ascending and descending order? For example : Input: arr[]={13,41,2,21,9,25,3}",Java,Hard,06,Second,Unit 3
1213,"Write a program to check whether enter number is palindrome or not?",Java,Medium,06,Second,Unit 3 
1214,"Write the differences between interface and abstract class",Java,Easy,06,Second,Unit 3
1215,"Write a program to find smallest and largest number from given input array?
  For example: Input arr[]={13,4,5,2,9}
  Output: Maximum is 13 and Minimum is 2.",Java,Easy,06,Second,Unit 3


1216,"Describe the uses of super keywords with respect to inheritance.",Java,Easy,06,Second,Unit 4 
1217,"Explain concept of multilevel inheritance using a simple java program.",Java,Medium,06,Second,Unit 4  
1218,"What is an abstract class in java? What is an interface? List the rules to create an interface in java with example.",Java,Hard,06,Second,Unit 4 
1219,"Define inheritance. What are the benefits of inheritance? How to prevent a class from inheritance?",Java,Easy,06,Second,Unit 4 
1220,"Explain different types of inheritance with diagram.",Java,Medium,06,Second,Unit 4  
1221,"Define polymorphism. Explain run time polymorphism with the help of example.",Java,Hard,06,Second,Unit 4 
1222,"Write a program to demonstrate hierarchical and multiple inheritance using interfaces.",Java,Hard,06,Second,Unit 4 

1223,"What is exceptions handling and state benefits of exception handling in java? Explain Java Exception Handling Keywords.",Java,Easy,06,Second,Unit 5
1224,"What is package? Write a program to create user defined package in java.",Java,Hard,06,Second,Unit 5 
1225,"How to declare variables in JavaScript? Write a Java script Program to add two numbers by using on click event, form and text box.",Java,Hard,06,Second,Unit 5 
1226,"What is the difference between error and an exception? Explain with help of example",Java,Medium,06,Second,Unit 5 
1227,"Write the difference between Final, finally and finalize.",Java,Easy,06,Second,Unit 5 
1228,"Explain try, catch and finally block with the help of example.",Java,Medium,06,Second,Unit 5 
1229,"How to create user defined exception?",Java,Medium,06,Third,Unit 5 
1230,"Write a html page and also provide a JavaScript for accepting a user ID and password from the user to ensure that the user is not empty.",Java,Hard,06,Second,Unit 5
